Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79
,,Fixed rate loans,Per cent,5.348,5.542,5.772,6.013,5.923,5.82,6.116,6.052,5.305,4.739,4.798,4.993,4.904,4.702,4.552,4.376,4.237,4.432,4.239,3.94,3.99,4.223,4.331,4.1,3.797,3.576,3.399,3.304,3.317,3.352,3.428,3.368,3.11,2.915,2.794,2.724,2.66,2.599,2.52,2.379,2.292,2.273,2.198,2.17,2.177,2.249,2.272,2.267,2.29,2.269,2.223,2.134,2.056,1.964,1.938,2.056,2.169,2.197,2.138,1.905,1.87,2.143,2.685,3.388,4.169,4.508,4.728,5.217,4.897,4.764,4.829,4.615,4.592,4.585,4.435,4.344
,,Variable rate loans,Per cent,5.882,6.051,6.251,6.137,5.874,5.834,6.111,4.327,2.914,2.749,2.92,2.982,3.211,3.214,3.197,3.032,3.029,3.012,2.898,2.958,2.896,3.196,3.319,3.295,3.285,3.14,3.066,2.995,2.932,2.829,2.787,2.737,2.577,2.502,2.47,2.507,2.518,2.347,2.212,2.158,2.348,2.304,2.236,2.368,2.406,2.525,2.487,2.527,2.565,2.474,2.499,2.442,2.238,1.826,1.876,2.06,2.168,2.211,2.28,2.214,2.405,2.874,3.497,4.514,5.075,5.627,6.105,6.122,6.168,6.351,6.028,5.869,5.513,5.279,4.907,4.855
,,All loans,Per cent,5.533,5.711,5.93,6.066,5.895,5.828,6.113,5.08,4.051,4.033,4.172,3.981,3.843,3.794,3.787,3.65,3.648,3.808,3.591,3.485,3.498,3.776,3.886,3.806,3.648,3.468,3.322,3.246,3.244,3.258,3.315,3.257,2.991,2.827,2.733,2.689,2.635,2.554,2.466,2.338,2.3,2.276,2.202,2.187,2.199,2.271,2.292,2.286,2.313,2.285,2.245,2.159,2.07,1.949,1.933,2.057,2.17,2.198,2.146,1.924,1.901,2.176,2.721,3.447,4.319,4.683,4.86,5.341,5.05,4.87,4.909,4.685,4.646,4.635,4.469,4.379
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Purpose of loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(i) As per cent of gross advances (£ amounts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,House purchase,Per cent,50.8,54.34,55.21,53.59,42.77,44.35,37.56,38.19,36.84,50.67,57.35,61.99,57.61,61.18,63.63,60.63,53.89,59.13,60.5,61.26,59.38,62.45,66.3,66.11,63,64.73,67.38,68.07,66.17,69.93,71.63,70.87,66.514,68.278,70.771,69.705,69.764,63.745,66.578,66.526,61.794,66.659,66.466,65.064,61.249,63.169,64.003,63.499,60.069,63.66,65.532,64.484,60.795,55.915,68.323,75.058,75.828,77.824,70.775,64.826,64.09,66.045,68.627,67.23,60.211,62.526,65.762,66.773,62.972,66.564,72.398,71.925,74.388,65.28,66.783,70.027
,,Of which:  First time buyers,Per cent,12.24,12.93,12.84,12.12,9.34,10.15,9.24,9.96,9.99,14.14,16.28,18.4,15.73,17.01,17.14,16.43,14.15,16.35,15.82,16.58,17.96,16.46,18.22,19.1,18.01,18.97,19.83,20.41,19.85,21.88,21.58,21.63,18.923,20.38,20.39,20.865,16.907,21.997,22.03,22.062,19.215,22.045,21.075,21.203,19.562,21.368,20.975,21.26,19.204,21.274,21.91,21.444,19.831,18.12,22.865,24.318,21.856,24.693,24.263,23.283,21.408,22.419,23.268,24.167,22.93,24.787,26.187,27.675,25.784,27.362,29.311,29.563,31.374,27.371,27.379,28.647
,,Buy to let,Per cent,10.71,11.41,11.34,12.32,12.25,11.7,7.91,7.35,5.8,6.05,5.44,5.51,6.36,6.74,6.5,7.67,8.42,8.98,8.72,9.48,10.03,10.71,10.56,11.18,12.19,12.23,12.07,13.04,14.66,13.81,14.46,15.08,17.496,16.781,16.453,16.502,22.065,13.905,13.819,14.385,14.707,13.063,13.023,12.918,14.352,13.168,12.068,12.51,13.976,13.187,12.294,12.373,13.965,14.398,12.521,11.147,11.689,11.396,11.911,11.796,13.37,13.633,12.479,11.869,9.834,8.156,7.396,7.036,8.376,9.08,7.981,8.276,8.084,9.231,8.196,8.411
,,Other,Per cent,27.85,30,31.03,29.14,21.18,22.5,20.4,20.88,21.05,30.47,35.63,38.08,35.52,37.42,39.99,36.53,31.32,33.81,35.96,35.21,31.39,35.29,37.53,35.83,32.8,33.52,35.49,34.62,31.65,34.23,35.6,34.15,30.095,31.117,33.927,32.337,30.791,27.843,30.728,30.079,27.872,31.551,32.368,30.944,27.336,28.632,30.96,29.729,26.889,29.199,31.329,30.667,27,23.397,32.937,39.593,42.283,41.735,34.601,29.747,29.312,29.994,32.879,31.194,27.447,29.583,32.18,32.062,28.811,30.121,35.106,34.086,34.93,28.678,31.208,32.969
